epoch,loss,accuracy,percision,recall,f1_score
1,0.4287547063827515,0.9464856230031949,,0.0,
2,0.22122128548160677,0.9851792687255946,0.9866071428571429,0.7330016583747927,0.8411037107516651
3,0.18555904272943735,0.9645899893503728,1.0,0.3383084577114428,0.5055762081784386
4,0.1468271091580391,0.9914802981895634,0.9289340101522843,0.9104477611940298,0.9195979899497488
5,0.12056736169116837,0.9834043308484203,0.8123123123123123,0.8971807628524047,0.8526398739164697
6,0.11280410028994084,0.9861554845580405,0.8272327964860908,0.9369817578772802,0.8786936236391912
7,0.11031764053872653,0.9868654597089102,0.8538102643856921,0.9104477611940298,0.8812199036918138
8,0.11395809918642044,0.9902378416755414,0.9920159680638723,0.824212271973466,0.9003623188405797
9,0.10660736171937571,0.9927227547035854,0.9693693693693693,0.8922056384742952,0.9291882556131261
10,0.1014128917897189,0.9921015264465743,0.9446366782006921,0.9054726368159204,0.9246401354784081
